dataset_doi,n_code_files,total_lines,has_interactions,has_ml_het,has_hierarchical,max_interactions,max_ml_het,max_hierarchical,name,description,published_at
doi:10.7910/DVN/27512,2,705,TRUE,FALSE,TRUE,1,0,2,Replication data for: The Productivity Consequences of Political Turnover: Firm-Level Evidence from Ukraine's Orange Revolution,"We examine the impact of political turnover on economic performance in a setting of largely unanticipated political change and profoundly weak institutions: the 2004 Orange Revolution in Ukraine. Exploiting census-type panel data on over 7,000 manufacturing enterprises, we find that the productivity of firms in the regions most supportive of Viktor Yushchenko increased by more than 15 percentage points in the three years following his election, relative to that in the most anti-Yushchenko regions. We conclude that this effect is driven primarily by particularistic rather than general economic policies that disproportionately increased output among large enterprises, government suppliers, and private enterprises—three types of firms that had much to gain or lose from turnover at the national level. Our results demonstrate that political turnover in the context of weak institutions can have substantial distributional effects that are reflected in economic productivity. Replication data and associated files. DETREND.ado (included) must be installed to run .do file.",2015-03-25T00:00:00Z
doi:10.7910/DVN/27551,1,0,FALSE,FALSE,FALSE,0,0,0,"Replication data for: 'Measuring and explaining regulatory reform in the EU: A time-series analysis of eight sectors, 1984-2012', European Journal of Political Research 53(4), 709-726","Replication data and do-file for Citi and Justesen (2014) ""Measuring and explaining regulatory reform in the EU: A time-series analysis of eight sectors, 1984-2012"", European Journal of Political Research 53(4), 709-726. Three files are available * Stata .dta file with replication data * Stata do-file to replicate results * Stata .dta and Excel files with regulatory data across eight different sectors The codebook is available in the online appendix at http://onlinelibrary.wiley.com/doi/10.1111/1475-6765.12061/abstract",2014-10-09T00:00:00Z
doi:10.7910/DVN/27571,1,0,FALSE,FALSE,FALSE,0,0,0,"Replication data for: 'Measuring and explaining regulatory reform in the EU: A time-series analysis of eight sectors, 1984-2012', European Journal of Political Research 53(4), 709-726","Original dataset, replication data and do-file for Citi and Justesen (2014) ""Measuring and explaining regulatory reform in the EU: A time-series analysis of eight sectors, 1984-2012"", European Journal of Political Research 53(4), 709-726. Three files are available * Stata .dta file with replication data * Stata do-file to replicate results * Stata .dta and Excel files with regulatory data across eight different sectors The codebook is available in the online appendix at http://onlinelibrary.wiley.com/doi/10.1111/1475-6765.12061/abstract",2015-01-14T00:00:00Z
doi:10.7910/DVN/27597,1,130,FALSE,FALSE,FALSE,0,0,0,Replication data for: The Influence of News Media on Political Elites: Investigating Strategic Responsiveness in Congress,"News media play a central role in democratic politics, yet we know little about how media affect the behavior of policy makers. To understand the conditions under which news media influence political elites, we advance a theory of strategic responsiveness, which contends that elected representatives are more likely to heed their constituents' preferences when voters are attentive. Accordingly, news media's influence on legislative behavior should be most apparent near elections and dependent on the partisan composition of the constituency. We capitalize on the incremental roll-out of the conservative Fox News Channel in the late 1990s to evaluate our theoretical predictions. Fox News caused both Republicans and Democrats in Congress to increase support for the Republican Party position on divisive votes, but only in the waning months of the election cycle and among those members who represent districts with a sizable portion of Republican voters.",2015-03-25T00:00:00Z
doi:10.7910/DVN/27624,1,96,FALSE,FALSE,FALSE,0,0,0,Replication data for: Candidates or Districts? Reevaluating the Role of Race in Voter Turnout,"Leading theories of race and participation posit that minority voters are mobilized by co-ethnic candidates. However, past studies are unable to disentangle candidate effects from factors associated with the places from which candidates emerge. I reevaluate the links between candidate race, district composition, and turnout by leveraging a nationwide database of over 185 million individual registration records, including estimates for the race of every voter. Combining these records with detailed information about 3,000 recent congressional primary and general election candidates, I find that minority turnout is not higher in districts with minority candidates, after accounting for the relative size of the ethnic group within a district. Instead, Black and Latino citizens are more likely to vote in both primary and general elections as their share of the population increases, regardless of candidate race.",2015-03-25T00:00:00Z
doi:10.7910/DVN/27631,1,944,TRUE,FALSE,TRUE,1,0,1,"Replication data for: Rising to the Top: Gender, Political Performance, and Party Leadership in Parliamentary Democracies","Party leaders are the main actors controlling campaign strategies, policy agendas, and government formation in advanced parliamentary democracies. Little is known, however, about gender and party leadership. This paper examines gendered leadership patterns across 71 political parties in 11 parliamentary democracies between 1965 and 2013. It shows that men and women have different access to, and experiences in, party leadership and that these gendered political opportunity structures are shaped by parties' political performances. Women are more likely to initially come to power in minor opposition parties and those that are losing seat share. Once selected for the position, female leaders are more likely to retain office when their parties gain seats, but are also more likely to leave the post when faced with an unfavorable trajectory. Together, these results demonstrate that prospective female leaders are playing by a different (and often more demanding) set of rules than their male counterparts.",2015-03-25T00:00:00Z
doi:10.7910/DVN/27662,1,144,TRUE,FALSE,FALSE,5,0,0,Replication data for: How Aspiration to Office Conditions the Impact of Government Participation on Party Platform Change,"Considerable ambiguity exists regarding the effect of government/opposition status on party platform change. Existing theories’ predict that: (1) it has no effect, (2) opposition parties change more, (3) opposition parties change more after several spells in opposition and (4) parties’ responses vary because of different goal orientations. We propose that a party’s aspiration to office, measured by its historical success or failure in entering office, determines a party’s reaction to being in opposition or government. We hypothesize that, because of loss aversion, parties with low office aspiration change more when they are in government than when they are in opposition. Conversely, parties with high office aspiration change more as opposition party than as government party. We find evidence for these hypotheses through a pooled time-series cross-sectional analysis of 1,585 platform changes in 21 democracies, using the Comparative Manifesto Data and an innovative measure of party platform change.",2015-03-25T00:00:00Z
doi:10.7910/DVN/27672,3,378,TRUE,FALSE,TRUE,2,0,1,Replication data for: Making Young Voters: The Impact of Preregistration on Youth Turnout,"Recent research has cast doubt on the potential for many electoral reforms to increase voter turnout. In this paper we examine the effectiveness of preregistration laws, which allow young citizens to register before being eligible to vote. We use two empirical approaches to evaluate the impact of preregistration on youth turnout. First, we implement difference-in-difference and lag models to bracket the causal effect of preregistration implementation using the 2000-2012 Current Population Survey. Second, focusing on the state of Florida, we leverage a discontinuity based on date of birth to estimate the effect of increased preregistration exposure on the turnout of young registrants. In both approaches we find preregistration increases voter turnout, with equal effectiveness for various subgroups in the electorate. More broadly, observed pat- terns suggest that the campaign context and supporting institutions may help to determine when and if electoral reforms are effective.",2016-12-12T19:05:30Z
doi:10.7910/DVN/27812,1,151,FALSE,FALSE,FALSE,0,0,0,Replication file for Priming political trust: Evidence from an experiment,Replication code and data for article in AJPS.,2014-11-13T00:00:00Z
doi:10.7910/DVN/28059,2,737,FALSE,FALSE,FALSE,0,0,0,"Replication data for: Corruption, Norms and Legal Enforcement: Evidence from Diplomatic Parking Tickets","We study cultural norms and legal enforcement in controlling corruption by analyzing the parking behavior of United Nations officials in Manhattan. Until 2002, diplomatic immunity protected UN diplomats from parking enforcement actions, so diplomats' actions were constrained by cultural norms alone. We find a strong effect of corruption norms: diplomats from high-corruption countries (on the basis of existing survey-based indices) accumulated significantly more unpaid parking violations. In 2002, enforcement authorities acquired the right to confiscate diplomatic license plates of violators. Unpaid violations dropped sharply in response. Cultural norms and (particularly in this context) legal enforcement are both important determinants of corruption.",2014-12-10T00:00:00Z
doi:10.7910/DVN/28158,2,2594,TRUE,FALSE,TRUE,2,0,2,Replication data for: What Do I Need to Vote? Bureaucratic Discretion and Discrimination by Local Election Officials,"Replication files for ""What Do I Need to Vote?: Bureaucratic Discretion and Discrimination by Local Election Officials,"" American Political Science Review, 2015",2014-12-12T00:00:00Z
doi:10.7910/DVN/28582,1,65,FALSE,FALSE,FALSE,0,0,0,Replication Data for: Campaign Contributions Facilitate Access to Congressional Officials: A Randomized Field Experiment,"Concern that donations to political campaigns can help political actors secure preferential treatment from policymakers has long occupied judges, scholars, and the public. However, the effects of contributions on policymakersâ behavior are notoriously difficult to assess. We present the first randomized field experiment on the topic. The experiment focuses on whether contributions facilitate access to influential policymakers. In the experiment, a political organization attempted to schedule meetings between 191 Congressional offices and the organizationâs members in their districts who were campaign donors. However, the organization randomly assigned whether it revealed to Congressional offices that prospective attendees had contributed to campaigns. When informed prospective attendees were political donors, senior policymakers made themselves available between three and four times more often. These findings underscore concerns about the Supreme Courtâs recent decisions deregulating campaign finance.",2015-01-06T00:00:00Z
doi:10.7910/DVN/28640,2,280,FALSE,FALSE,TRUE,0,0,1,Replication Data for: Opinion Backlash and Public Attitudes: Are Political Advances in Gay Rights Counterproductive?,"Popular sovereignty creates tension when it conflicts with other democratic values. One long recognized consequence of this tension is public opinion backlash, which occurs when individuals recoil in response to some salient event. For decades, scholars have suggested that opinion backlash impedes policy gains by marginalized groups. Public opinion research, however, suggests that widespread attitude change that backlash proponents theorize is likely to be rare. Examining backlash against gays and lesbians using a series of on-line and natural experiments about marriage equality, and large sample survey data, we find no evidence of opinion backlash among the general public, by members of groups predisposed to dislike gays and lesbians, or those with psychological traits that may pre-dispose them to lash back. The important implication is that groups pursuing rights should not be dissuaded by threats of backlash that will set their movement back in the court of public opinion.",2015-01-19T00:00:00Z
doi:10.7910/DVN/28750,1,70,FALSE,FALSE,FALSE,0,0,0,Replication Data for: Voting Rights for Whom?: Examining the Effects of the Voting Rights Act on Latino Political Incorporation,"This study applies insights from principal-agent models to examine whether and how the language assistance provisions of the Voting Rights Act, Sections 203 and 4(f)(4), affect Latino representation. Using panel data from 1984–2012, we estimate two-stage models that consider the likelihood and extent of Latino board representation for a sample of 1,661 school districts. In addition, we examine how policy design as well as federal oversight and enforcement shape implementation and compliance with the language assistance provisions. Our findings not only provide the first systemic evidence that the language assistance provisions have a direct effect on Latino representation, but also link the efficacy of the language assistance provisions to the duration and consistency of coverage and the presence of federal elections observers. Overall, our study underscores the continued need for federal government involvement in protecting the voting rights of underrepresented groups, in this case, language minority citizens.",2015-02-03T00:00:00Z
doi:10.7910/DVN/28809,1,277,TRUE,FALSE,TRUE,3,0,4,Replication data for: Greater Expectations: A Field Experiment to Improve Accountability in Mali,"In the paper for which I use this data, I argue that if citizens systematically underestimate what their government can and should do for them, then they will hold politicians to a lower standard and sanction poor performers less often. A field experiment across 95 localities in Mali in which randomly assigned localities receive a civics course identifies the effect of raising voter expectations of government on their willingness to hold leaders accountable. The course provides information about local government capacity and responsibility as well as how local politicians perform relative to others, effectively raising voter expectations of what local governments can and should do. Survey experiments among individuals in treated and control communities (N=5,560) suggest that people in treated villages are indeed more likely to sanction poor performers and vote based on performance more often. A behavioral outcome â the likelihood that villagers challenge local leaders at a town hall meeting â adds external validity to survey findings.",2018-11-05T21:50:39Z
doi:10.7910/DVN/28856,29,2434,FALSE,FALSE,TRUE,0,0,2,Replication Data for: The Timeline of Elections: A Comparative Perspective,"Scholars are only beginning to understand the evolution of electoral sentiment over time. How do preferences come into focus over the electoral cycle in different countries? Do they evolve in patterned ways? Does the evolution vary across countries? This paper addresses these issues. We consider differences in political institutions and how they might impact voter preferences over the course of the election cycle. We then outline an empirical analysis relating support for parties or candidates in pre-election polls to their final vote. The analysis relies on over 26,000 vote intention polls in 45 countries since 1942, covering 312 discrete electoral cycles. Our results indicate that early polls contain substantial information about the final result but that they become increasingly informative over the election cycle. Although the degree to which this is true varies across countries in important and understandable ways given differences in political institutions, the pattern is strikingly general.",2015-03-02T00:00:00Z
doi:10.7910/DVN/28870,8,1450,TRUE,FALSE,TRUE,1,0,2,Replication Data for: Descriptive Representation and Judicial Outcomes in Multi-Ethnic Societies,"The extent to which judicial outcomes depend on judges' identities is a central question in multiethnic societies. Past work on the impact of the racial composition of appellate courts has narrowly focused on civil rights cases in the United States. We expand this literature by testing for ethnicity-based panel effects in criminal appeals in Israel. Using randomness in the assignment of cases to panels, we find that appeal outcomes for Jewish defendants are independent of panels' ethnic composition. By contrast, panel composition is highly consequential for Arab defendants, who receive more lenient punishments when their case is heard by a panel that includes at least one Arab judge, compared to all-Jewish panels. The magnitude of these effects is sizable: a 14–20% reduction in incarceration and a 15–26% reduction in prison sentencing. These findings contribute to recent debates on the relationship between descriptive representation and substantive outcomes in judicial bodies.",2015-02-06T00:00:00Z
doi:10.7910/DVN/28929,1,85,FALSE,FALSE,FALSE,0,0,0,Legal Constraint in the U.S. Courts of Appeals,"These data show when and how U.S. Court of Appeals judges cite existing published circuit precedents when writing panel opinions. Specifically these data cover the use of all such precedents dating back to 1953 and the citation decisions themselves are examined for cases from 1990 through 2010. Both treatment cases and precedents are limited to search and seizure cases that cite the Fourth Amendment of the United States constitution. In addition to the information on citation and treatment, the relevant databases contain several variables describing features of the treatment case, the precedent, and the relationship between those two. The provided Stata .do file contains the code necessary to produce all the numerical results in the associated article as well as conduct ancillary analyses mentioned in the endnotes.",2015-01-30T00:00:00Z
doi:10.7910/DVN/28930,2,3298,FALSE,FALSE,TRUE,0,0,1,Assessing the External Validity of Election RD Estimates: An Investigation of the Incumbency Advantage,"Code and data needed to replicate the results in JOP article ""Assessing the External Validity of Election RD Estimates: An Investigation of the Incumbency Advantage""",2015-01-29T00:00:00Z
doi:10.7910/DVN/29026,1,209,FALSE,FALSE,FALSE,0,0,0,"Minister Turnover, Critical Events, and Presidentialism","This dataset contains information on all ministers in office in 12 Latin American countries from 1978 (or the year of the democratic transition) to 2007. It covers 74 administrations, about 1,230 portfolios, and 2,601 ministers. (Notice that portfolio = 1 corresponds to the president.) Observations in the data matrix are time splits for survival analysis. The dataset includes 1,618 exits during the term and 983 censored cases (i.e., ministers leaving at the end of the administration).",2015-02-05T00:00:00Z
doi:10.7910/DVN/29040,1,277,TRUE,FALSE,TRUE,3,0,4,Replication Data for: Greater Expectations: A Field Experiment to Improve Accountability in Mali,"I argue that if citizens systematically underestimate what their government can and should do for them, then they will hold politicians to a lower standard and sanction poor performers less often. A field experiment across 95 localities in Mali in which randomly assigned localities receive a civics course identifies the effect of raising voter expectations of government on their willingness to hold leaders accountable. The course provides information about local government capacity and responsibility as well as how local politicians perform relative to others, effectively raising voter expectations of what local governments can and should do. Survey experiments among individuals in treated and control communities (N=5,560) suggest that people in treated villages are indeed more likely to sanction poor performers and vote based on performance more often. A behavioral outcome - the likelihood that villagers challenge local leaders at a town hall meeting - adds external validity to survey findings.",2019-03-07T13:58:49Z
doi:10.7910/DVN/29076,1,99,FALSE,FALSE,FALSE,0,0,0,Doing Harm by Doing Good? The Negative Externalities of Humanitarian Aid Provision during Civil Conflict,Dataset includes grid level information on conflict events and humanitarian aid distribution in 22 sub-Saharan African states between 1989 and 2008.,2015-02-11T00:00:00Z
doi:10.7910/DVN/29080,3,0,FALSE,FALSE,FALSE,0,0,0,Replication Data for: Voting Against Your Constituents? How Lobbying Affects Representation,"Citizens delegate the representation of their political preferences to Members of Parliament (MPs) who are supposed to represent their interests in the legislature. However, MPs are exposed to a variety of interest groups seeking to influence their voting behavior. We argue that interest groups influence how MPs cast their vote in Parliament, but that this effect varies across groups. While lobbying by sectional groups provides incentives for MPs to defect from their constituents, we expect that cause groups in fact strengthen the link between MPs and their voters. We test our argument based on an innovative study of 118 Swiss public referenda which allows for directly comparing voter preferences with legislative voting of 448 MPs on these issues. Drawing on a multilevel regression analysis, this study shows that interest groups considerably affect the link between MPs and their voters. Our findings have important implications for our understanding of political representation.",2015-02-12T00:00:00Z
doi:10.7910/DVN/29095,7,715,FALSE,FALSE,TRUE,0,0,1,Replication Data for: Performance Federalism and Local Democracy: Theory and Evidence from School Tax Referenda,Federal governments are increasingly employing empirical measures of lower-level government performance to ensure that provincial and local jurisdictions pursue national policy goals. We call this burgeoning phenomenon performance federalism and argue that it can distort democratic accountability in lower-level elections. We estimate the impact of a widely publicized federal indicator of local school district performance - one that we show does not allow voters to draw valid inferences about the quality of local educational institutions - on voter support for school tax levies in a U.S. state uniquely appropriate for this analysis. The results indicate that a signal of poor district performance increases the probability of levy failure - a substantively large and robust effect that disproportionately affects impoverished communities. The analysis employs a number of identification strategies and tests for multiple behavioral mechanisms to support the causal interpretation of these findings.,2018-12-04T20:32:45Z
doi:10.7910/DVN/29098,1,137,FALSE,FALSE,FALSE,0,0,0,Replication Data for: Does Regression Produce Representative Estimates of Causal Effects?,"With an unrepresentative sample, the estimate of a causal effect may fail to characterize how effects operate in the population of interest. What is less well understood is that conventional estimation practices for observational studies may produce the same problem even with a representative sample. Causal effects estimated via multiple regression differentially weight each unit's contribution. The ``effective sample'' that regression uses to generate the estimate may bear little resemblance to the population of interest, and the results may be nonrepresentative in a manner similar to what quasi-experimental methods or experiments with convenience samples produce. There is no general external validity basis for preferring multiple regression on representative samples over quasi-experimental or experimental methods. We show how to estimate the ``multiple regression weights'' that allow one to study the effective sample. We discuss alternative approaches that, under certain conditions, recover representative average causal effects. The requisite conditions cannot always be met.",2015-02-11T00:00:00Z
doi:10.7910/DVN/29101,1,553,FALSE,FALSE,TRUE,0,0,1,Periphery versus periphery: The stakes of separatist war,"This is replication data for main and supplementary tables in Periphery versus Periphery: The Stakes of Separatist War, Bethany Lacina, JOP. The data are ethnic group-year observations, based on the Ethnic Power Relations Dataset (http://thedata.harvard.edu/dvn/dv/epr). The independent variables created for the JOP article are information about spatial overlap between ethnic groups and the relative political power of overlapping groups.",2015-02-12T00:00:00Z
doi:10.7910/DVN/29108,1,11,TRUE,FALSE,FALSE,2,0,0,The Strategic Use of Congressional Intergovernmental Delegation,The data and code to replicate this study. Please contact the author with any questions.,2015-02-13T00:00:00Z
doi:10.7910/DVN/29117,1,0,FALSE,FALSE,FALSE,0,0,0,"Institutions as Incentives for Civic Action: Bureaucratic Structures, Civil Society and Disruptive Protests","Data and supporting material necessary to reproduce the numerical results in the paper ""Institutions as Incentives for Civic Action: Bureaucratic Structures, Civil Society and Disruptive Protests"" with the exception of the data from the Americas Barometer, which is available directly from the Latin American Public Opinion Project.",2015-02-13T00:00:00Z
doi:10.7910/DVN/29129,1,59,FALSE,FALSE,FALSE,0,0,0,Replication Data for: Divided Government and the Fragmentation of American Law,"We investigate institutional explanations for Congress's choice to fragment statutory frameworks for policy implementation. We argue that divided party government, which fuels legislative-executive conflict over control of the bureaucracy, motivates Congress to fragment implementation power as a strategy to enhance its control over implementation. We develop a novel measure of fragmentation in policy implementation, collect data on it over the period 1947 to 2008, and test hypotheses linking separation of powers structures to legislative design of fragmented implementation power. We find that divided party government is powerfully associated with fragmentation in policy implementation, and that this association contributed to the long-run growth of fragmentation in the post-war U.S. We further find that legislative coalitions are more likely to fragment implementation power in the face of greater uncertainty about remaining in the majority.",2015-02-15T00:00:00Z
doi:10.7910/DVN/29157,1,4479,TRUE,FALSE,TRUE,1,0,3,Replication data for: Bargaining Power in the Supreme Court: Evidence from Opinion Assignment and Vote Switching,"data and r scripts for ""Bargaining Power in the Supreme Court: Evidence from Opinion Assignment and Vote Switching"" JOP Lax Rader 2015",2021-10-28T18:55:48Z
doi:10.7910/DVN/29179,1,490,FALSE,FALSE,FALSE,0,0,0,The Costa Rican Supreme Court's Compliance Monitoring System,"Replication material for data analysis reported in Gauri, Staton and Vargas's ""The Costa Rican Supreme Court's Compliance Monitoring System,"" as well as the accompanying online Appendix. The data file includes indicators of compliance tracking for decisions of the Constitutional Chamber of the Supreme Court of Costa Rica.",2015-02-27T00:00:00Z
doi:10.7910/DVN/29205,1,4479,TRUE,FALSE,TRUE,1,0,3,Bargaining Power in the Supreme Court: Evidence from Opinion Assignment and Vote Switching,"How can we assess relative bargaining power within the Supreme Court? Justices cast two votes in every case, one during the initial conference and one on the final merits of the case. Between these two votes, a justice is assigned to draft the majority opinion. We argue that vote switching can be used to detect the power of opinion authors over opinion content. Bargaining models make different predictions for opinion content and therefore for when other justices in the initial majority should be more or less likely to defect from initial positions. We derive hypotheses for how opinion authorship should affect vote switching and find that authorship has striking effects on switching. Authors thus have disproportionate influence and by extension so do Chief Justices, who make most assignments. This evidence is compatible with only the âAuthor Influenceâ class of bargaining models, with particular support for one model within this class. This contains vote switch data and coalition level data.",2015-02-23T00:00:00Z
doi:10.7910/DVN/29242,1,27,TRUE,FALSE,FALSE,2,0,0,Replication Data for: Legislative Capacity and Executive Unilateralism,"This article develops a theory of presidential unilateralism in which both ideological divergence with Congress and legislative capacity influence the president's use of executive orders. We argue that when Congress is less capable of constraining the executive, the president will issue more executive orders during periods of divided government. Conversely, in periods of high legislative capacity, the president is less likely to issue executive orders when faced with an opposed Congress. Based on an examination of institutional changes, we identify years prior to the mid-1940s as characterized by low congressional capacity and the subsequent period as characterized by high capacity. Testing the theory between 1905 and 2013, we find strong support for these predictions and demonstrate that legislative capacity conditions the role of ideological disagreement in shaping presidential action. Overall, this article deepens our current understanding of the dynamics of separation-of-powers politics and the limits of executive power.",2015-02-26T00:00:00Z
doi:10.7910/DVN/29286,1,188,TRUE,FALSE,FALSE,5,0,0,Judicial Majoritarianism,"Replication files for the article, ""Judicial Majoritarianism.""",2015-03-03T00:00:00Z
doi:10.7910/DVN/29314,5,3490,FALSE,FALSE,TRUE,0,0,2,Coethnic Bias and Wartime Informing,"Information about insurgent groups is a central resource in civil wars: counterinsurgets seek it, insurgents safeguard it, and civilians often trade it. Yet despite its essential role in civil war dynamics, the act of informing is still poorly understood, due mostly to the classified nature of informant ""tips"" and the absence of reliable data on civilian attitudes. We use a 2,700 respondent survey experiment in 100 villages to examine attitudes toward the Guardians of Peace program, a widespread campaign by the International Security Assistance Force (ISAF) in Afghanistan to recruit local informants. We find that coethnic bias - the systematic tendency to favor cooperation with coethnics - shapes attitudes about informing and beliefs about retaliation, especially among Tajik respondents. This bias persists even after adjusting for additional explanations and potential confounding variables, suggesting that identity considerations such as coethnicity influence attitudes toward a high-risk behavior in wartime settings.",2015-03-06T00:00:00Z
doi:10.7910/DVN/29347,1,426,FALSE,FALSE,FALSE,0,0,0,Replication data for: Competing for Transparency: Political Competition and Institutional Reform in Mexican States,"Why do political actors undertake reforms that constrain their own discretion? We argue that uncertainty generated by political competition is a major driver of such reforms, and test this argument using subnational data on Mexican statesâ adoption of state-level access to information (ATI) laws. Examining data from 31 Mexican states plus the Federal District, we find that more politically competitive states passed ATI laws more rapidly, even taking into account the party in power, levels of corruption, civil society, and other factors. The fine-grained nature of our data, reflecting the staggered timing of elections, inauguration dates, and dates of passage, allows us to distinguish between different theoretical mechanisms. We find the greatest evidence in favor of an insurance mechanism, by which incumbent parties who face uncertainty over future political control seek to ensure access to government information, and means of monitoring incumbents, in the future in case they lose power.",2015-03-05T00:00:00Z
doi:10.7910/DVN/29375,1,1911,FALSE,FALSE,TRUE,0,0,1,Replication Data for: Cardinals or Clerics? Congressional Committees and the Distribution of Pork,"Journalistic and academic accounts of Congress suggest that important committee positions allow members to procure more federal funds for their constituents, but existing evidence on this topic is limited in scope and has failed to distinguish the effects of committee membership from selection onto committees. We bring together decades of data on federal outlays and congressional committee and subcommittee assignments to provide a comprehensive analysis of committee positions and distributive politics across all policy domains. Using a within-member research design, we find that seats on key committees produce little additional spending. The chairs of the Appropriations subcommitteesâthe so called âcardinalsâ of Congressâare an exception to the rule. These leadership positions do generate more funding for constituents but only from programs under the jurisdiction of their subcommittee. Our results paint a new picture of distributive politics and call for a reexamination of its canonical theories.",2015-03-17T00:00:00Z
doi:10.7910/DVN/29379,3,3358,TRUE,FALSE,TRUE,2,0,1,"Bias Will Find a Way: Economic Perceptions, Attributions of Blame, and Partisan-Motivated Reasoning during Crisis","This site contains the files necessary to reproduce the main as well as the supplementary results from ""Bias Will Find a Way: Economic Perceptions, Attributions of Blame, and Partisan-Motivated Reasoning during Crisis."" The dataverse contains monthly survey data from the British 2004-2010 Continuous Monitoring Survey as well as a nine wave panel (2005-2010) from the British Election Study. The original data files can be found here: http://bes2009-10.org/",2015-03-09T00:00:00Z
doi:10.7910/DVN/29405,4,356,TRUE,FALSE,TRUE,1,0,1,Structural Topic Models for Open-Ended Survey Responses,"Collection and especially analysis of open-ended survey responses are relatively rare in the discipline and when conducted are almost exclusively done through human coding. We present an alternative, semiautomated approach, the structura ltopic model (STM) (Roberts, Stewart, and Airoldi 2013; Roberts et al. 2013), that draws on recent developments in machine learning based analysis of textual data. A crucial contribution of the method is that it incorporates information about the document, such as the author'Âs gender, political affiliation, and treatment assignment (if an experimental study). This article focuses on how the STM is helpful for survey researchers and experimentalists. The STM makes analyzing open-ended responses easier, more revealing, and capable of being used to estimate treatment effects. We illustrate these innovations with analysis of text from surveys and experiments.",2015-07-06T04:51:24Z
doi:10.7910/DVN/29427,1,493,TRUE,FALSE,TRUE,1,0,2,English Bacon: Co-partisan Bias in Intergovernmental Grant Allocation in England,"Replication data and do file for the paper: ""English Bacon: Co-partisan Bias in Intergovernmental Grant Allocation in England"". The data contains information on central government grants and partisan composition of English local authorities 1992-2012.",2015-03-09T00:00:00Z
doi:10.7910/DVN/29487,1,63,TRUE,FALSE,FALSE,5,0,0,Immigration Enforcement and the Redistribution of Political Trust,"Code and data needed to replicate the results in JOP article ""Immigration Enforcement and the Redistribution of Political Trust""",2015-03-17T00:00:00Z
doi:10.7910/DVN/29498,1,1337,FALSE,FALSE,FALSE,0,0,0,Long-Term Consequences of Election Results,"These data sets can be used to replicate all quantitative results from the study. Specially, the data sets contain election results and roll-call summaries for the U.S. House of Representatives, the U.S. Senate, and most state legislatures in the U.S.",2015-07-21T13:15:14Z
doi:10.7910/DVN/29566,2,1277,TRUE,FALSE,TRUE,1,0,1,Incumbency Disadvantage under Electoral Rules with Intra-Party Competition: Evidence from Japan,"Replication data and code for the JOP article ""Incumbency Disadvantage under Electoral Rules with Intra-Party Competition: Evidence from Japan.""",2015-03-23T00:00:00Z
doi:10.7910/DVN/29591,7,467,FALSE,FALSE,FALSE,0,0,0,Replication Data for: Does Compulsory Voting Increase Support for Leftist Policy?,"Citizens unequally participate in referendums and this may systematically bias policy in favor of those who vote. Some view compulsory voting as an important tool to alleviate this problem while others worry about its detrimental effects on the legitimacy and quality of democratic decision-making. So far, however, we lack systematic knowledge about the causal effect of compulsory voting on public policy. We argue that sanctioned compulsory voting mobilizes citizens at the bottom of the income distribution and that this translates into an increase in support for leftist policies. We empirically explore the effects of a sanctioned compulsory voting law on direct-democratic decision-making in Switzerland. We find that compulsory voting significantly increases electoral support for leftist policy positions in referendums by up to 20 percentage points. We discuss the implications of these results for our understanding of the policy consequences of electoral institutions.",2015-08-26T19:17:14Z
doi:10.7910/DVN/29633,2,206,TRUE,FALSE,TRUE,1,0,1,Commerce and Conflict: New Data about the Great War,"The First World War is often cited as proof par excellence of the flaws in the liberal-peace argument because the adversaries it engaged had been each otherÃ¢ÂÂs major prewar trading partners. Although commonly assumed to have wreaked havoc on the trade of the states it engaged, the warÃ¢ÂÂs impact on commerce has rarely been rigorously examined. Using an original data set, we show that the Great War triggered processes of substitution that reduced its trade-related costs. Although recourse to second-best alternatives always induces efficiency losses, the costs of adjustment were small relative to the other costs states incurred during the war. The analysis shows that the Great War is not the egregious exception to the theory that conventional wisdom has long assumed it to be. At the same time, it makes clear that the deterrent power of trade varies inversely with the ability of belligerents to access the markets of alternative trading partners.",2017-06-06T11:11:07Z
doi:10.7910/DVN/29743,1,804,FALSE,FALSE,FALSE,0,0,0,Do Alliances Really Deter,"These files replicate the analysis performed in Kenwick, Vasquez, and Powers' ""Do Alliances Really Deter."" Data sets consist of 10 year observations and record whether an alliance was formed in year five of a given observation and the frequency of interstate conflict before and after this time. Please see the README file and online appendix for additional details.",2015-04-03T00:00:00Z
doi:10.7910/DVN/29911,3,3952,FALSE,FALSE,TRUE,0,0,5,Replication Data for: An Empirical Validation Study of Popular Survey Methodologies for Sensitive Questions,"When studying sensitive issues including corruption, prejudice, and sexual behavior, researchers have increasingly relied upon indirect questioning techniques to mitigate such known problems of direct survey questions as under-reporting and nonresponse. However, there have been surprisingly few empirical validation studies of these indirect techniques, because the information required to verify the resulting estimates is often difficult to access. This paper reports findings from the first comprehensive validation study of indirect methods. We estimate whether people voted for an anti-abortion referendum held during the 2011 Mississippi General Election using direct questioning and three popular indirect methods: list experiment, endorsement experiment, and randomized response. We then validate these estimates against the official election outcome. While direct questioning leads to significant under-estimation of sensitive votes against the referendum, these survey techniques yield estimates much closer to the actual vote count, with endorsement experiment and randomized response yielding least bias.",2020-10-19T15:28:21Z
